policy,mean_TTFT,mean_total_latency,mean_TBT,throughput
FCFS,0.9197286559181466,1.7191090515954408,0.04992339432189674,0.4990371204896141
Prefill-first,0.24576409245205572,2.5742521201090685,0.1442669131705077,0.4990371204896141
